item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width,Living room,Bedroom,Office,Kitchen,Dining room,Entrance,Playroom,Nursery,Outdoor,space,size_cluster,size_category,rooms,cluster
50363649,KULLABERG,Bar furniture,140.0,SR 175,True,https://www.ikea.com/sa/en/p/kullaberg-stool-black-50363649/,Yes,        Stool,Sarah Fager,36.0,101.43419862042862,36.0,1,0,0,0,0,0,0,0,0,131458.72141207548,1,medium,Living room,7.0
10363651,KULLABERG,Chairs,175.0,No old price,True,https://www.ikea.com/sa/en/p/kullaberg-stool-pine-black-10363651/,Yes,        Stool,Sarah Fager,36.0,101.96515770803124,36.0,1,0,1,1,1,0,0,0,0,132146.84438960848,1,medium,"Living room, Office, Kitchen, Dining room",7.0
90325518,KULLABERG,Chairs,220.0,SR 275,True,https://www.ikea.com/sa/en/p/kullaberg-swivel-chair-black-90325518/,No,        Swivel chair,Sarah Fager,58.0,88.1090616838601,58.0,1,0,1,1,1,0,0,0,0,296398.8835045054,1,medium,"Living room, Office, Kitchen, Dining room",10.0
69162599,KULLABERG,Tables & desks,695.0,No old price,True,https://www.ikea.com/sa/en/p/kullaberg-desk-pine-black-s69162599/,No,"        Desk,          110x70 cm",Ebba Strandmark,70.0,75.0,110.0,1,0,1,1,1,0,0,0,0,577500.0,1,medium,"Living room, Office, Kitchen, Dining room",9.0
60322130,KULLEN,Tables & desks,89.0,No old price,True,https://www.ikea.com/sa/en/p/kullen-chest-of-2-drawers-black-brown-60322130/,No,"        Chest of 2 drawers,          35x49 cm",IKEA of Sweden,40.0,49.0,35.0,1,1,1,1,1,1,0,0,0,68600.0,1,medium,"Living room, Bedroom, Office, Kitchen, Dining room, Entrance",8.0
30309234,KULLEN,Chests of drawers & drawer units,199.0,No old price,True,https://www.ikea.com/sa/en/p/kullen-chest-of-3-drawers-black-brown-30309234/,No,"        Chest of 3 drawers,          70x72 cm",IKEA of Sweden,40.0,72.0,70.0,1,1,0,0,0,1,0,0,0,201600.0,1,medium,"Living room, Bedroom, Entrance",7.0
40393661,KULLEN,Chests of drawers & drawer units,299.0,No old price,True,https://www.ikea.com/sa/en/p/kullen-chest-of-5-drawers-black-brown-40393661/,No,"        Chest of 5 drawers,          70x112 cm",IKEA of Sweden,40.0,112.0,70.0,1,1,0,0,0,1,0,0,0,313600.0,1,medium,"Living room, Bedroom, Entrance",7.0
80334924,KUNGSFORS,Trolleys,695.0,No old price,True,https://www.ikea.com/sa/en/p/kungsfors-kitchen-trolley-stainless-steel-80334924/,No,"        Kitchen trolley,          60x40 cm",Ehlén Johansson,53.17612100380888,90.0,40.0,1,0,0,1,1,0,0,0,0,191434.03561371198,1,medium,"Living room, Kitchen, Dining room",5.0
50382493,KUNGSHAMN,Sofas & armchairs,45.0,SR 75,True,https://www.ikea.com/sa/en/p/kungshamn-cover-for-footstool-module-idekulla-beige-50382493/,Yes,        Cover for footstool module,Mikael Axelsson,40.1176862850718,108.53860689794735,102.11739351928229,1,1,0,0,0,0,0,0,0,444651.58238618553,1,medium,"Living room, Bedroom",5.0
10382876,KUNGSHAMN,Sofas & armchairs,60.0,SR 100,True,https://www.ikea.com/sa/en/p/kungshamn-cover-for-1-seat-module-yttered-multicolour-10382876/,Yes,        Cover for 1-seat module,Mikael Axelsson,40.32442545547761,108.63274614895606,102.34179408154185,1,1,0,0,0,0,0,0,0,448313.66067356477,1,medium,"Living room, Bedroom",5.0
20382786,KUNGSHAMN,Sofas & armchairs,90.0,SR 150,True,https://www.ikea.com/sa/en/p/kungshamn-cover-for-corner-module-yttered-multicolour-20382786/,Yes,        Cover for corner module,Mikael Axelsson,40.73790379628923,108.82102465097347,102.79059520606097,1,1,0,0,0,0,0,0,0,455685.14376530616,1,medium,"Living room, Bedroom",5.0
89248192,KUNGSHAMN,Sofas & armchairs,300.0,SR 500,True,https://www.ikea.com/sa/en/p/kungshamn-footstool-module-idekulla-beige-s89248192/,Yes,        Footstool module,Mikael Axelsson,52.48224152841535,44.0,67.0,1,1,0,0,0,0,0,0,0,154717.64802576846,1,medium,"Living room, Bedroom",6.0
49248189,KUNGSHAMN,Sofas & armchairs,585.0,SR 625,True,https://www.ikea.com/sa/en/p/kungshamn-1-seat-module-yttered-multicolour-s49248189/,Yes,        1-seat module,Mikael Axelsson,85.0,71.0,67.0,1,1,0,0,0,0,0,0,0,404345.0,1,medium,"Living room, Bedroom",6.0
